Date , Inflation Rate | Percent , Note
Mar 2020 , 1.54 , Actual
Apr 2020 , 0.33 , Actual
May 2020 , 0.12 , Actual
Jun 2020 , 0.65 , Actual
Jul 2020 , 0.99 , Actual
Aug 2020 , 1.31 , Actual
Sep 2020 , 1.37 , Actual
Oct 2020 , 1.18 , Actual
Nov 2020 , 1.17 , Actual
Dec 2020 , 1.36 , Actual
Jan 2021 , 1.40 , Actual
Feb 2021 , 1.68 , Actual
Mar 2021 , 2.62 , Actual
Apr 2021 , 4.16 , Actual
May 2021 , 4.99 , Actual
Jun 2021 , 5.39 , Actual
Jul 2021 , 5.37 , Actual
Aug 2021 , 5.25 , Actual
Sep 2021 , 5.39 , Actual
Oct 2021 , 6.22 , Actual
Nov 2021 , 6.81 , Actual
Dec 2021 , 7.04 , Actual
Jan 2022 , 7.48 , Actual
Feb 2022 , 7.87 , Actual
Mar 2022 , 8.54 , Actual
Apr 2022 , 8.26 , Actual
May 2022 , 8.58 , Actual
Jun 2022 , 9.06 , Actual
Jul 2022 , 8.52 , Actual
Aug 2022 , 8.26 , Actual
Sep 2022 , 8.20 , Actual
Oct 2022 , 7.75 , Actual
Nov 2022 , 7.11 , Actual
Dec 2022 , 6.45 , Actual
Jan 2023 , 6.41 , Actual
Feb 2023 , 6.04 , Actual
Mar 2023 , 4.98 , Actual
Apr 2023 , 4.93 , Actual
May 2023 , 4.05 , Actual
Jun 2023 , 2.97 , Actual
Jul 2023 , 3.18 , Actual
Aug 2023 , 3.67 , Actual
Sep 2023 , 3.70 , Actual
Oct 2023 , 3.24 , Actual
Nov 2023 , 3.14 , Actual
Dec 2023 , 3.35 , Actual
Jan 2024 , 3.09 , Actual
Feb 2024 , 3.15 , Actual
Mar 2024 , 3.48 , Actual
Apr 2024 , 3.36 , Actual
May 2024 , 3.27 , Actual
Jun 2024 , 2.97 , Actual
Jul 2024 , 2.89 , Actual
Aug 2024 , 2.53 , Actual
Sep 2024 , 2.44 , Actual
Oct 2024 , 2.60 , Actual
Nov 2024 , 2.75 , Actual
Dec 2024 , 2.89 , Actual
Jan 2025 , 3.00 , Actual
Feb 2025 , 2.82 , Actual
Mar 2025 , 2.39 , Actual
Apr 2025 , 2.09 , Forecast
May 2025 , 1.81 , Forecast
Jun 2025 , 1.71 , Forecast
Jul 2025 , 1.49 , Forecast
Aug 2025 , 1.58 , Forecast
Sep 2025 , 1.57 , Forecast
Oct 2025 , 1.64 , Forecast
Nov 2025 , 1.66 , Forecast

www.forecasts.org
