Date , US Dollar Index DXY | Average of Month , Note
Apr 2020 , 99.900 , Actual
May 2020 , 99.570 , Actual
Jun 2020 , 97.102 , Actual
Jul 2020 , 95.660 , Actual
Aug 2020 , 93.056 , Actual
Sep 2020 , 93.373 , Actual
Oct 2020 , 93.398 , Actual
Nov 2020 , 92.643 , Actual
Dec 2020 , 90.534 , Actual
Jan 2021 , 90.235 , Actual
Feb 2021 , 90.619 , Actual
Mar 2021 , 91.967 , Actual
Apr 2021 , 91.698 , Actual
May 2021 , 90.340 , Actual
Jun 2021 , 90.997 , Actual
Jul 2021 , 92.522 , Actual
Aug 2021 , 92.786 , Actual
Sep 2021 , 92.930 , Actual
Oct 2021 , 93.962 , Actual
Nov 2021 , 95.303 , Actual
Dec 2021 , 96.201 , Actual
Jan 2022 , 95.911 , Actual
Feb 2022 , 96.028 , Actual
Mar 2022 , 98.435 , Actual
Apr 2022 , 100.585 , Actual
May 2022 , 103.118 , Actual
Jun 2022 , 103.810 , Actual
Jul 2022 , 106.933 , Actual
Aug 2022 , 107.063 , Actual
Sep 2022 , 110.626 , Actual
Oct 2022 , 111.943 , Actual
Nov 2022 , 108.181 , Actual
Dec 2022 , 104.541 , Actual
Jan 2023 , 102.777 , Actual
Feb 2023 , 103.583 , Actual
Mar 2023 , 103.804 , Actual
Apr 2023 , 101.808 , Actual
May 2023 , 102.705 , Actual
Jun 2023 , 103.110 , Actual
Jul 2023 , 101.433 , Actual
Aug 2023 , 103.050 , Actual
Sep 2023 , 105.187 , Actual
Oct 2023 , 106.356 , Actual
Nov 2023 , 104.557 , Actual
Dec 2023 , 102.715 , Actual
Jan 2024 , 102.903 , Actual
Feb 2024 , 104.088 , Actual
Mar 2024 , 103.652 , Actual
Apr 2024 , 105.377 , Actual
May 2024 , 104.971 , Actual
Jun 2024 , 105.164 , Actual
Jul 2024 , 104.650 , Actual
Aug 2024 , 102.260 , Actual
Sep 2024 , 101.068 , Actual
Oct 2024 , 103.235 , Actual
Nov 2024 , 105.837 , Actual
Dec 2024 , 107.173 , Actual
Jan 2025 , 108.586 , Actual
Feb 2025 , 107.389 , Actual
Mar 2025 , 104.207 , Actual
Apr 2025 , 100.725 , Actual
May 2025 , 101.28 , Forecast
Jun 2025 , 103.45 , Forecast
Jul 2025 , 105.31 , Forecast
Aug 2025 , 104.20 , Forecast
Sep 2025 , 107.42 , Forecast
Oct 2025 , 108.19 , Forecast
Nov 2025 , 106.77 , Forecast
Dec 2025 , 103.83 , Forecast

www.forecasts.org
